FECHA,PRODUCTO,PRECIO_SINTETICO,CANTIDAD
2025-02-28,Aguacate papelillo,9.81,Kilogramo - 50 Kg
2025-03-01,Aguacate papelillo,8.58,Kilogramo - 50 Kg
2025-03-02,Aguacate papelillo,10.2,Kilogramo - 50 Kg
2025-03-03,Aguacate papelillo,11.98,Kilogramo - 50 Kg
2025-03-04,Aguacate papelillo,8.5,Kilogramo - 50 Kg
2025-03-05,Aguacate papelillo,8.54,Kilogramo - 50 Kg
2025-03-06,Aguacate papelillo,12.2,Kilogramo - 50 Kg
2025-03-07,Aguacate papelillo,10.61,Kilogramo - 50 Kg
2025-03-08,Aguacate papelillo,8.18,Kilogramo - 50 Kg
2025-03-09,Aguacate papelillo,10.24,Kilogramo - 50 Kg
2025-03-10,Aguacate papelillo,8.26,Kilogramo - 50 Kg
2025-03-11,Aguacate papelillo,8.3,Kilogramo - 50 Kg
2025-03-12,Aguacate papelillo,9.74,Kilogramo - 50 Kg
2025-03-13,Aguacate papelillo,5.47,Kilogramo - 50 Kg
2025-03-14,Aguacate papelillo,5.89,Kilogramo - 50 Kg
2025-03-15,Aguacate papelillo,8.26,Kilogramo - 50 Kg
2025-03-16,Aguacate papelillo,7.38,Kilogramo - 50 Kg
2025-03-17,Aguacate papelillo,10.08,Kilogramo - 50 Kg
2025-03-18,Aguacate papelillo,7.67,Kilogramo - 50 Kg
2025-03-19,Aguacate papelillo,6.7,Kilogramo - 50 Kg
2025-03-20,Aguacate papelillo,12.43,Kilogramo - 50 Kg
2025-03-21,Aguacate papelillo,8.97,Kilogramo - 50 Kg
2025-03-22,Aguacate papelillo,9.47,Kilogramo - 50 Kg
2025-03-23,Aguacate papelillo,6.4,Kilogramo - 50 Kg
2025-03-24,Aguacate papelillo,8.08,Kilogramo - 50 Kg
2025-03-25,Aguacate papelillo,9.31,Kilogramo - 50 Kg
2025-03-26,Aguacate papelillo,6.7,Kilogramo - 50 Kg
2025-03-27,Aguacate papelillo,9.75,Kilogramo - 50 Kg
2025-03-28,Aguacate papelillo,8.05,Kilogramo - 50 Kg
2025-03-29,Aguacate papelillo,8.92,Kilogramo - 50 Kg
2025-03-30,Aguacate papelillo,8.55,Kilogramo - 50 Kg
2025-03-31,Aguacate papelillo,13.7,Kilogramo - 50 Kg
2025-04-01,Aguacate papelillo,9.97,Kilogramo - 50 Kg
2025-04-02,Aguacate papelillo,7.88,Kilogramo - 50 Kg
2025-04-03,Aguacate papelillo,11.65,Kilogramo - 50 Kg
2025-04-04,Aguacate papelillo,7.56,Kilogramo - 50 Kg
2025-04-05,Aguacate papelillo,10.42,Kilogramo - 50 Kg
2025-04-06,Aguacate papelillo,6.08,Kilogramo - 50 Kg
2025-04-07,Aguacate papelillo,7.34,Kilogramo - 50 Kg
2025-04-08,Aguacate papelillo,10.39,Kilogramo - 50 Kg
2025-04-09,Aguacate papelillo,11.48,Kilogramo - 50 Kg
2025-04-10,Aguacate papelillo,11.34,Kilogramo - 50 Kg
2025-04-11,Aguacate papelillo,10.52,Kilogramo - 50 Kg
2025-04-12,Aguacate papelillo,9.9,Kilogramo - 50 Kg
2025-04-13,Aguacate papelillo,7.29,Kilogramo - 50 Kg
2025-04-14,Aguacate papelillo,8.56,Kilogramo - 50 Kg
2025-04-15,Aguacate papelillo,9.08,Kilogramo - 50 Kg
2025-04-16,Aguacate papelillo,12.11,Kilogramo - 50 Kg
2025-04-17,Aguacate papelillo,10.69,Kilogramo - 50 Kg
2025-04-18,Aguacate papelillo,6.47,Kilogramo - 50 Kg
2025-02-27,Ajo,25.1,Atado/manojo - 4 Kg
2025-02-28,Ajo,23.49,Atado/manojo - 4 Kg
2025-03-01,Ajo,22.72,Atado/manojo - 4 Kg
2025-03-02,Ajo,25.11,Atado/manojo - 4 Kg
2025-03-03,Ajo,25.76,Atado/manojo - 4 Kg
2025-03-04,Ajo,25.38,Atado/manojo - 4 Kg
2025-03-05,Ajo,21.65,Atado/manojo - 4 Kg
2025-03-06,Ajo,22.52,Atado/manojo - 4 Kg
2025-03-07,Ajo,23.62,Atado/manojo - 4 Kg
2025-03-08,Ajo,24.72,Atado/manojo - 4 Kg
